"Datacenter","ansible_fqdn","ansible_host"
"se4prtsvc01","se4tss4aapp01.alaskaair.com","10.34.20.11"
"se4prtsvc01","se4tss4aapp02.alaskaair.com","10.34.20.12"
"se4prtsvc01","se4tss4alb01.alaskaair.com","10.34.20.29"
"se4prtsvc01","se4tss4amq01.alaskaair.com","10.34.20.13"
"se4prtsvc01","se4tss4amq02.alaskaair.com","10.34.20.23"
"se4prtsvc01","se4tss4apgdb01.alaskaair.com","10.34.20.37"
"se4prtsvc01","se4tss4autil01.alaskaair.com","10.34.20.38"
"se4prtsvc01","se4tss4autil02.alaskaair.com","10.34.20.47"
"se4prtsvc01","se4tstlinesrh7.aagqa.net","10.34.204.16"
"se4prtsvc01","se4tstlinesrh8.aagqa.net","10.34.204.15"
"se4prtsvc01","se4tstower01.ts.aagqa.net","10.34.23.240"
"se4prtsvc01","se4tstower02.ts.aagqa.net","10.34.23.241"
"se4prtsvc01","se4tstower03.ts.aagqa.net","10.34.23.242"
"igqprqavc01","igqqa19ctest01.alaskaair.com","159.49.43.76"
"igqprqavc01","igqqa19ctest02.alaskaair.com","159.49.43.92"
"igqprqavc01","igqqaadsdb01.aagqa.net","10.24.129.40"
"igqprqavc01","igqqaclintol8.alaskaair.com","159.49.196.60"
"igqprqavc01","igqqaclintol9.alaskaair.com","159.49.43.51"
"igqprqavc01","ns","10.80.98.223"
"igqprqavc01","ns","10.80.98.224"
"igqprqavc01","igqqaol8upg01.alaskaair.com","10.24.129.21"
"igqprqavc01","igqqaol8upg02.alaskaair.com","10.80.96.208"
"igqprqavc01","igqqapshcmora01.aagqa.net","10.24.129.11"
"igqprqavc01","ol77core_122","159.49.43.58"
"igqprqavc01","igqqatlinesol9","159.49.43.50"
"igqprqavc01","seaalpsfinora01","10.80.102.44"
"igqprqavc01","seaalpsfinora02.alaskaair.com","10.80.101.191"
"igqprqavc01","seabdpsfinora01","10.80.102.20"
"igqprqavc01","seabdpsfinora02","10.80.102.45"
"igqprqavc01","seadvat19cora01","10.80.102.157"
"igqprqavc01","seadvcms19hora01.alaskaair.com","10.80.88.73"
"igqprqavc01","seadvcms19ora01.alaskaair.com","10.80.88.63"
